@RELATION MetaCritic

@ATTRIBUTE year	INTEGER
@ATTRIBUTE rating	{EC,E,E10,T,M,AO,RP}
@ATTRIBUTE genre	{Action,ActionAdventure,Adventure,Driving,Fighting,MMO,Platformer,Party,Puzzle,RPG,Shooter,Sports,Simulation,Strategy,Misc}
@ATTRIBUTE score	REAL
@ATTRIBUTE userScore	REAL
@ATTRIBUTE class	{PC,Console}

@DATA
2008,E10,Platformer,0.71,0,PC
2008,E10,Strategy,0.7,9.3,PC
2008,T,Action,0.7,6.9,PC
2008,M,Adventure,0.7,0,PC
2008,E,Misc,0.7,4.3,PC
2008,T,Shooter,0.7,7.7,PC
2008,T,ActionAdventure,0.7,5.6,PC
2008,T,Adventure,0.7,5.5,PC
2008,E,Adventure,0.69,0,PC
2008,E,Adventure,0.69,0,PC
2008,T,Party,0.69,0,PC
2008,?,?,0.69,6.5,PC
2008,T,Strategy,0.69,7.3,PC
2008,?,Puzzle,0.69,6.9,PC
2008,E,Sports,0.69,8.2,PC
2008,T,Adventure,0.68,5.7,PC
2008,?,?,0.68,6.5,PC
2008,T,?,0.68,0,PC
2008,T,Adventure,0.68,4.5,PC
2008,?,?,0.67,5,PC
